Parameter,Estimate,StdError,tValue,pValue
[EFFR].omega,2.2128,6.0052,0.3685,0.7125
[EFFR].alpha1,0.9902,0.0371,26.7222,0
[EFFR].beta1,0.0088,0.0037,2.3849,0.01708
[OBFR].omega,2.5693,6.0955,0.4215,0.6734
[OBFR].alpha1,0.9767,0.0712,13.7141,0
[OBFR].beta1,0.0223,0.0444,0.5022,0.6155
[TGCR].omega,0.665,0.8786,0.7569,0.4491
[TGCR].alpha1,0.9262,0.1351,6.8574,7.01E-12
[TGCR].beta1,0.0728,0.1164,0.6259,0.5314
[BGCR].omega,0.6648,0.5547,1.1984,0.2307
[BGCR].alpha1,0.9259,0.2843,3.2573,0.001125
[BGCR].beta1,0.0731,0.1115,0.6555,0.5121
[SOFR].omega,0.7426,0.5889,1.2609,0.2073
[SOFR].alpha1,0.9433,0.0192,49.0692,0
[SOFR].beta1,0.0557,0.0344,1.6211,0.105
[Joint]dcca1,0.1738,0.0508,3.4226,0.0006202
[Joint]dccb1,0.7737,0.0975,7.9328,2.22E-15
